date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:30:47	5080/5080	---M-Z	200	added ('OK')	text/css	etag:%2213d8-5bfed2ffb43ed-gzip%22	http://exill.dk/demo/kitzu/template/css/colors/main-indigo.css	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/css/colors/main-indigo.css	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:48	5098/5098	---M-Z	200	added ('OK')	text/css	etag:%2213ea-5bfed301c7827-gzip%22	http://exill.dk/demo/kitzu/template/css/colors/main-orange.css	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/css/colors/main-orange.css	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:49	5080/5080	---M-Z	200	added ('OK')	text/css	etag:%2213d8-5bfed30273639-gzip%22	http://exill.dk/demo/kitzu/template/css/colors/main-pink.css	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/css/colors/main-pink.css	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:50	5080/5080	---M-Z	200	added ('OK')	text/css	etag:%2213d8-5bfed3033e84f-gzip%22	http://exill.dk/demo/kitzu/template/css/colors/main-purple.css	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/css/colors/main-purple.css	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:51	5075/5075	---M-Z	200	added ('OK')	text/css	etag:%2213d3-5bfed303e67e2-gzip%22	http://exill.dk/demo/kitzu/template/css/colors/main-red.css	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/css/colors/main-red.css	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:52	5080/5080	---M-Z	200	added ('OK')	text/css	etag:%2213d8-5bfed306a69ce-gzip%22	http://exill.dk/demo/kitzu/template/css/colors/main-teal.css	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/css/colors/main-teal.css	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:53	4956/4956	---M-Z	200	added ('OK')	text/css	etag:%22135c-5bfed2fa21732-gzip%22	http://exill.dk/demo/kitzu/template/css/colors/main-dark.css	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/css/colors/main-dark.css	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:54	5080/5080	---M-Z	200	added ('OK')	text/css	etag:%2213d8-5bfed30767003-gzip%22	http://exill.dk/demo/kitzu/template/css/colors/main-yellowgreen.css	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/css/colors/main-yellowgreen.css	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:55	5085/5085	---M-Z	200	added ('OK')	text/css	etag:%2213dd-5bfed305f7cdb-gzip%22	http://exill.dk/demo/kitzu/template/css/colors/main-tangopink.css	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/css/colors/main-tangopink.css	(from http://exill.dk/demo/kitzu/template/video.html)
21:30:56	5085/5085	---M-Z	200	added ('OK')	text/css	etag:%2213dd-5bfed3006ade1-gzip%22	http://exill.dk/demo/kitzu/template/css/colors/main-moodyblue.css	/Users/yohanaoktavia/websites/portfolio/exill.dk/demo/kitzu/template/css/colors/main-moodyblue.css	(from http://exill.dk/demo/kitzu/template/video.html)
